CountryGrouped,avg_hourly_salary,total_budget,avg_hourly_low,avg_hourly_high
Australia,23.347994927880805,4423997.0,14.662149310508797,32.033840545252815
Bangladesh,26.111205432937183,1469897.0,14.654216185625353,37.56819468024901
Canada,24.389089037570766,7319037.0,14.899897066392176,33.878281008749354
China,23.979833101529902,890143.0,15.592489568845618,32.36717663421419
France,23.82453367056592,955373.0,14.457477078722732,33.19159026240911
Germany,24.634805945499586,1484840.0,15.627580511973575,33.642031379025596
India,22.84275339437954,13994412.0,14.878370697821282,30.807136090937796
Israel,24.254803073967338,528386.0,14.9731027857829,33.53650336215178
Italy,23.73003908431044,745561.0,15.147403685092128,32.31267448352875
Netherlands,22.941600901916573,1068643.0,14.315445321307779,31.567756482525365
Others,24.238132101713596,16087537.0,15.075209279135066,33.401054924292126
Pakistan,23.13872613872614,1451036.0,15.05934605934606,31.218106218106218
Philippines,25.149629018961253,3966379.0,12.740313272877165,37.55894476504534
Saudi Arabia,24.245310668229777,485499.0,15.550410316529895,32.94021101992966
Singapore,23.445421831267492,752611.0,15.01799280287885,31.872850859656136
Spain,23.663159984120682,2018731.0,14.762604208019056,32.56371576022231
Switzerland,24.470005659309564,1424388.0,14.831918505942275,34.10809281267685
Ukraine,24.668525703200775,635928.0,15.968477206595539,33.36857419980601
United Arab Emirates,23.81072047536519,2463648.0,15.176776429809358,32.44466452092102
United Kingdom,25.43346911065852,7857935.0,15.547234842550525,35.31970337876651
United States,27.14404113963264,38763619.0,17.257599298452973,37.03048298081231
